track_id,track_name,artist_id,artist_name,duration,release_date,popularity,danceability,loudness,tempo
6kVuF2PYLuvl9T85XjNbaO,Lay It Down Gmix - Main,1Xfmvd48oOhEWkscWyEbh9,Lloyd,302186,1/1/2011,28,0.597,-5.423,155.932
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),3aQeKQSyrW4qWr35idm0cy,T-Pain,238800,6/5/2007,75,0.832,-8.504,104.961
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),3aQeKQSyrW4qWr35idm0cy,T-Pain,238800,6/5/2007,75,0.832,-8.504,104.961
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),4qXC0i02bSFstECuXP2ZpL,Blxst,161684,12/4/2020,76,0.571,-5.16,93.421
4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,218295,8/3/2018,72,0.548,-2.371,98.932
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,26cMerAxjx9GedFt0lMDjm,Bella Poarch,122772,5/14/2021,89,0.855,-7.454,102.931
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,26cMerAxjx9GedFt0lMDjm,Bella Poarch,122772,5/14/2021,89,0.855,-7.454,102.931
5OKHUpNLi4GEQ0aynz9VLJ,Ever After,1mCY2mHctggfYiEqpCgcSz,Bonnie Bailey,231559,5/11/2018,50,0.774,-6.504,113.994
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,205458,4/2/2021,89,0.907,-7.636,104.949
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),03T8GHHcCEtcfnjbP5aHLg,YungManny,125579,3/20/2021,70,0.903,-4.709,129.835
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),03T8GHHcCEtcfnjbP5aHLg,YungManny,125579,3/20/2021,70,0.903,-4.709,129.835
3VqeTFIvhxu3DIe4eZVzGq,Butter,3Nrfpe0tUJi4K4DXYWgMUX,BTS,164441,5/21/2021,98,0.759,-5.187,109.997
3VqeTFIvhxu3DIe4eZVzGq,Butter,3Nrfpe0tUJi4K4DXYWgMUX,BTS,164441,5/21/2021,98,0.759,-5.187,109.997
4gdx3sBwgfZTZAqxKzQVTA,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),3aQeKQSyrW4qWr35idm0cy,T-Pain,235733,7/8/2011,40,0.782,-6.144,158.162
1ax4ZAVsA2k1WmlAEiknCH,Love Me,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,191573,1/1/2009,43,0.729,-3.319,124.957
6UQreXkBLml4Bv3q3NEUzq,Who's That Girl (feat. Eve),5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,219693,11/8/2010,51,0.759,-5.268,127.017
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",7b79bQFziJFedJb75k6hFt,Tion Wayne,278085,4/22/2021,91,0.883,-8.043,141.02
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",7b79bQFziJFedJb75k6hFt,Tion Wayne,278085,4/22/2021,91,0.883,-8.043,141.02
1sVwtQw8VoPMsPDMvx9Y4S,Ayegirl,6JajQ1VHanKIftKLeZRUSy,1way Frank,170866,9/4/2014,58,0.783,-8.507,99.802
1sVwtQw8VoPMsPDMvx9Y4S,Ayegirl,6JajQ1VHanKIftKLeZRUSy,1way Frank,170866,9/4/2014,58,0.783,-8.507,99.802
4FJ50kkBvVzJte01d6Gtt8,You Da One,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,200013,1/1/2011,44,0.702,-5.377,127.05
4PxWkNPSN62nCIwKvtsmda,Hands Up,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,147716,12/13/2017,53,0.565,-5.941,102.792
7aXuop4Qambx5Oi3ynsKQr,I Don't Mind (feat. Juicy J),23zg3TcAtWQy7J6upgbUnj,Usher,251989,11/21/2014,69,0.87,-8.337,112.974
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),0jnsk9HBra6NMjO2oANoPY,Flo Rida,231400,3/17/2008,80,0.918,-5.64,128.008
